usc,time,del1,del2,del3,stanford
Play-by-Play,,,,,
Stanford vs USC,,,,,
1/22/16 8:00 PM at Los Angeles Calif. (Galen,Center),,,,
,,,,,
1st PERIOD Play-by-Play (Page 1),,,,,
HOME TEAM: USC,TIME,SCORE,M,AR,VISITORS: Stanford
----------------------------------------------,--------,------,---,--,-------------------------------
REBOUND (DEF) by Taito Khaedin,0.238194444,,,,MISSED 3 PTR by Smith Alanna
REBOUND (DEF) by Effa Marguerite,0.211805556,,,,MISSED JUMPER by Johnson Kaylee
TIMEOUT media,0.204166667,,,,
FOUL by Effa Marguerite (P2T4),0.1875,38-48,V,1,0 GOOD! FT SHOT by Johnson Kaylee
REBOUND (DEF) by Effa Marguerite,0.1875,,,,MISSED FT SHOT by Johnson Kaylee
SUB IN : Simon Kristen,0.1875,,,,SUB IN : Smith Alanna
SUB OUT: Fagbenle Temi,0.1875,,,,SUB OUT: McCall Erica
MISSED LAYUP by Taito Khaedin,0.175,,,,BLOCK by McCall Erica
,0.174305556,,,,REBOUND (DEF) by McCall Erica
,0.16875,,,,SUB IN : McCall Erica
,0.16875,,,,SUB OUT: Smith Alanna
,0.166666667,38-51,V,1,3 GOOD! 3 PTR by Samuelson Karlie
TIMEOUT 30sec,0.15625,,,,
SUB IN : Lloyd Alexis,0.15625,,,,
SUB OUT: Taito Khaedin,0.15625,,,,
,0.154166667,,,,SUB IN : Johnson Kaylee
,0.154166667,,,,SUB OUT: Johnson Kailee
MISSED FT SHOT by Fagbenle Temi,0.14375,,,,FOUL by Sniezek Marta (P2T8)
REBOUND (OFF) by (DEADBALL),0.14375,,,,
MISSED FT SHOT by Fagbenle Temi,0.14375,,,,REBOUND (DEF) by Johnson Kaylee
SUB IN : Fagbenle Temi,0.14375,,,,
SUB OUT: Simon Kristen,0.14375,,,,
,0.129861111,,,,TURNOVR by Sniezek Marta
STEAL by Effa Marguerite,0.129166667,,,,
TURNOVR by Edwards Sadie,0.111805556,,,,
,0.100694444,38-53,V,1,5 GOOD! LAYUP by Thompson Lili [PNT]
,0.100694444,,,,ASSIST by Johnson Kaylee
GOOD! LAYUP by Edwards Sadie [PNT],0.078472222,40-53,V,1,3
,0.075694444,40-55,V,1,5 GOOD! LAYUP by McCall Erica [FB/PNT]
,0.075694444,,,,ASSIST by Sniezek Marta
MISSED 3 PTR by Edwards Sadie,0.061111111,,,,
REBOUND (OFF) by Jaco Courtney,0.061111111,,,,
MISSED FT SHOT by Lloyd Alexis,0.058333333,,,,
,0.058333333,,,,FOUL by McCall Erica (P2T9)
REBOUND (OFF) by (DEADBALL),0.058333333,,,,
GOOD! FT SHOT by Lloyd Alexis,0.058333333,41-55,V,1,4
,0.050694444,,,,TURNOVR by Thompson Lili
STEAL by Fagbenle Temi,0.05,,,,
MISSED LAYUP by Effa Marguerite,0.047916667,,,,REBOUND (DEF) by Johnson Kaylee
,0.039583333,41-57,V,1,6 GOOD! LAYUP by McCall Erica [PNT]
,0.039583333,,,,ASSIST by Thompson Lili
TURNOVR by Fagbenle Temi,0.027083333,,,,
GOOD! LAYUP by Edwards Sadie [PNT],0.01875,43-57,V,1,4
MISSED FT SHOT by Edwards Sadie,0.01875,,,,FOUL by Samuelson Karlie (P4T10)
,0.01875,,,,REBOUND (DEF) by McPhee Brittany
,0.014583333,,,,TURNOVR by McPhee Brittany
STEAL by Edwards Sadie,0.013888889,,,,
GOOD! LAYUP by Edwards Sadie [PNT],0.013194444,45-57,V,1,2
,0.010416667,,,,TURNOVR by Johnson Kaylee
STEAL by Edwards Sadie,0.009722222,,,,
GOOD! LAYUP by Edwards Sadie [PNT],0.009027778,47-57,V,1,0
